food_id,user_id,description,protein,fat,carb,calories_extra,my_food,favorite_food,share_with_others,serving_size,serving_unit,is_active,created_at
1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Tuda,50.00,10.00,0.00,0.00,true,false,false,1.00,serving,false,2026-08-08 20:08:08.486064+00
2,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Brownies,50.00,10.00,0.00,0.00,true,false,false,1.00,serving,false,2026-08-08 20:24:52.33103+00
3,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Tuna,50.00,10.00,0.00,0.00,true,false,true,1.00,serving,false,2026-08-08 20:29:53.776383+00
4,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Bread,1.00,1.00,25.00,0.00,true,false,false,1.00,slice,false,2026-08-08 20:48:19.784657+00
5,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Tuna,9.00,10.00,22.00,0.00,true,false,false,1.00,serving,false,2026-08-08 22:10:25.905967+00
6,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Tuna2,9.00,10.00,22.00,0.00,true,false,false,1.00,serving,false,2026-08-09 00:50:00.188374+00
9,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Sardined (Wild Caught),18.00,11.00,0.00,0.00,true,true,true,1.00,serving,true,2026-08-09 04:56:14.562382+00
10,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Bread (Chocolate Factory),3.00,1.00,15.00,0.00,true,true,true,1.00,slice,true,2026-08-09 04:58:07.860698+00
11,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Tortillas (Mission),4.00,3.00,24.00,0.00,true,true,true,1.00,serving,true,2026-08-09 05:00:45.044936+00
12,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Eggs (two fried),12.50,13.00,1.00,0.00,true,true,true,1.00,serving,true,2026-08-09 05:08:19.893974+00
13,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Butter (1/2 tab),0.05,6.00,0.00,0.00,true,true,false,7.00,gram,true,2026-08-09 18:42:27.772761+00
14,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Coffee w/ whole milk  (3 oz),1.50,3.00,3.00,0.00,true,true,false,1.00,serving,true,2026-08-09 18:46:35.399704+00
15,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Macadamia Nuts,1.10,10.75,1.95,0.00,true,true,false,6.00,count,true,2026-08-09 21:00:43.421676+00
