supplement_id,user_id,description,serving_size,serving_unit,share_with_others,is_active,created_at
1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Water,8.00,glasses,true,true,2026-08-09 02:27:41.609958+00
2,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Ceatine,1.00,scoop,true,true,2026-08-09 02:27:55.812493+00
5,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Magnesium,1.00,pills,true,true,2026-08-10 06:31:05.822866+00
6,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Multi (AG1),1.00,other,true,true,2026-08-10 16:58:48.18108+00
7,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,B-Complex,1.00,pills,true,true,2026-08-10 16:59:03.226734+00
8,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,D3-K2,1.00,pills,true,true,2026-08-10 17:00:19.611935+00
9,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,"Fish Oil 2g, Krill 0.5g",1.00,other,false,true,2026-08-11 03:48:31.475613+00
10,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,dfsdfsfdfd,1.00,other,false,false,2026-08-16 20:47:55.607541+00
11,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Asheogonda,1.00,pills,false,false,2026-08-22 05:50:56.8758+00
12,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Zinc,1.00,pills,false,true,2026-08-22 05:51:10.971597+00
13,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,sdsdads,1.00,other,false,false,2026-09-03 06:18:14.75641+00
14,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,dsadsasda,1.00,other,false,false,2026-09-03 06:28:26.892708+00
15,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,dsdsdsdsdsdsdsds,1.00,other,false,false,2026-09-03 06:30:12.629629+00
16,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,2222,1.00,other,false,false,2026-09-03 06:50:27.840862+00
17,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,AAAAAAA,1.00,other,false,false,2026-09-06 03:43:04.856749+00
