workout_id,user_id,type,average_workout_time,calories_burned,share_with_others,is_active,created_at
1,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Tread Mill (HITT Interval),15,120,false,true,2026-08-09 01:28:38.090236+00
2,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Weights,15,150,false,true,2026-08-09 01:43:25.764035+00
5,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Tread Mill (HITT interval) + Calisthenics,30,270,false,true,2026-08-09 23:19:15.574071+00
6,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Squats (50/5 min.),5,40,false,true,2026-08-09 23:20:53.250917+00
7,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Squats (100),10,80,false,false,2026-08-10 04:12:37.692252+00
8,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Kettle Ball Swings (20 x 3 sets),10,40,true,false,2026-08-10 06:13:41.757555+00
9,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Walking,30,125,false,true,2026-08-22 20:05:58.859508+00
10,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,Kettle Ball (20 × 3 sets),10,40,false,true,2026-08-31 03:22:50.516824+00
11,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,aaa,22,22,false,false,2026-09-03 06:15:13.781438+00
12,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,dsadsdsadsadsadsa,,0,false,false,2026-09-03 06:30:29.164819+00
13,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,fdsfdsfdsfds,11,1111,false,false,2026-09-03 06:45:18.196479+00
14,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,dsdsadsads,222,222,false,false,2026-09-03 06:45:58.242204+00
15,d4f24e1d-d554-45f2-a0bf-e9b217f27bec,232232323,22,0,false,false,2026-09-03 06:50:15.013305+00
